sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[9, 6, 4, 1, 1, 0]	129.0	26.0	162.0	40.694%	8.2018%	51.104%	5043.0	1329.0	5040.0	44.190%	11.645%	44.164%	
[9, 6, 4, 2, 0, 0]	96.0	44.0	177.0	30.283%	13.880%	55.835%	5024.0	1289.0	5099.0	44.023%	11.295%	44.681%	
[9, 6, 5, 1, 0, 0]	85.0	38.0	194.0	26.813%	11.987%	61.198%	4869.0	1310.0	5233.0	42.665%	11.479%	45.855%	
[9, 6, 6, 0, 0, 0]	36.0	50.0	231.0	11.356%	15.772%	72.870%	4657.0	1298.0	5457.0	40.807%	11.373%	47.818%	
[9, 7, 2, 1, 1, 1]	152.0	20.0	145.0	47.949%	6.3091%	45.741%	5007.0	1383.0	5022.0	43.874%	12.118%	44.006%	
[9, 7, 2, 2, 1, 0]	139.0	30.0	148.0	43.848%	9.4637%	46.687%	4988.0	1343.0	5081.0	43.708%	11.768%	44.523%	
[9, 7, 3, 1, 1, 0]	121.0	24.0	172.0	38.170%	7.5709%	54.258%	4929.0	1351.0	5132.0	43.191%	11.838%	44.970%	
[9, 7, 3, 2, 0, 0]	93.0	42.0	182.0	29.337%	13.249%	57.413%	4910.0	1311.0	5191.0	43.024%	11.487%	45.487%	
[9, 7, 4, 1, 0, 0]	72.0	34.0	211.0	22.712%	10.725%	66.561%	4800.0	1325.0	5287.0	42.060%	11.610%	46.328%	
[9, 7, 5, 0, 0, 0]	25.0	45.0	247.0	7.8864%	14.195%	77.917%	4626.0	1306.0	5480.0	40.536%	11.444%	48.019%	
[9, 8, 1, 1, 1, 1]	107.0	51.0	159.0	33.753%	16.088%	50.157%	4760.0	1423.0	5229.0	41.710%	12.469%	45.820%	
